Minute,HomeLead,PlayerAdvantage,playerdiff,minute,Win,Tie,Lose,N,ActWin,ActTie,ActLose,xPts,LowerWin,UpperWin,Inside?
60,-2,Away,-1,60,0.015102888,0.07791247,0.906984642,5,0,0,1,0.123221135,-0.109086355,0.109086355,1
70,-2,Away,-1,70,0.004763841,0.050924566,0.944311593,4,0,0,1,0.065216089,-0.068855987,0.068855987,1
80,-2,Away,-1,80,0.000421333,0.013364897,0.98621377,4,0,0,1,0.014628896,-0.020522078,0.020522078,1
90,-2,Away,-1,90,1.46E-05,0.001658574,0.998326816,6,0,0,1,0.001702403,-0.003120853,0.003120853,1
0,-1,Away,-1,0,0.224108997,0.173870459,0.602020544,NA,NA,NA,NA,0.846197449,#VALUE!,#VALUE!,#VALUE!
10,-1,Away,-1,10,0.185579384,0.19048982,0.623930796,NA,NA,NA,NA,0.747227973,#VALUE!,#VALUE!,#VALUE!
20,-1,Away,-1,20,0.154652235,0.208709873,0.636637892,1,0,0,1,0.672666579,-0.723145688,0.723145688,1
30,-1,Away,-1,30,0.130480889,0.226981448,0.642537663,1,0,0,1,0.618424116,-0.673663497,0.673663497,1
40,-1,Away,-1,40,0.109480366,0.234666538,0.655853096,2,0,0,1,0.563107636,-0.441575396,0.441575396,1
50,-1,Away,-1,50,0.089157018,0.231410228,0.679432754,7,0,0.428571429,0.571428571,0.498881281,-0.215417261,0.215417261,1
60,-1,Away,-1,60,0.066619931,0.236551928,0.696828141,11,0,0.363636364,0.636363636,0.436411722,-0.150371317,0.150371317,1
70,-1,Away,-1,70,0.033586337,0.231502118,0.734911545,11,0,0.363636364,0.636363636,0.33226113,-0.108641688,0.108641688,1
80,-1,Away,-1,80,0.007652062,0.179011362,0.813336576,14,0,0.214285714,0.785714286,0.201967547,-0.046578682,0.046578682,1
90,-1,Away,-1,90,0.000957215,0.109221466,0.889821319,19,0,0.157894737,0.842105263,0.11209311,-0.014188938,0.014188938,1
0,0,Away,-1,0,0.350406756,0.269547545,0.380045699,NA,NA,NA,NA,1.320767814,#VALUE!,#VALUE!,#VALUE!
10,0,Away,-1,10,0.34289546,0.286581157,0.370523383,NA,NA,NA,NA,1.315267536,#VALUE!,#VALUE!,#VALUE!
20,0,Away,-1,20,0.330878026,0.301001942,0.368120032,4,0.75,0.25,0,1.293636019,0.279470768,1.220529232,1
30,0,Away,-1,30,0.312886725,0.314749896,0.372363379,6,0.5,0.5,0,1.253410071,0.121416128,0.878583872,1
40,0,Away,-1,40,0.292903897,0.340792895,0.366303208,6,0.333333333,0.666666667,0,1.219504587,-0.03824995,0.704916616,1
50,0,Away,-1,50,0.273064283,0.383414985,0.343520732,8,0.25,0.5,0.25,1.202607834,-0.065039823,0.565039823,1
60,0,Away,-1,60,0.249371672,0.430054142,0.320574187,12,0.083333333,0.583333333,0.333333333,1.178169157,-0.166456873,0.333123539,1
70,0,Away,-1,70,0.201488113,0.517349907,0.281161981,13,0.076923077,0.538461538,0.384615385,1.121814245,-0.145573701,0.299419855,1
80,0,Away,-1,80,0.12362598,0.684799624,0.191574397,16,0,0.9375,0.0625,1.055677563,-0.164577183,0.164577183,1
90,0,Away,-1,90,0.059119969,0.847434631,0.0934454,17,0,1,0,1.024794539,-0.114403618,0.114403618,1
0,1,Away,-1,0,0.501843999,0.316462971,0.181693031,NA,NA,NA,NA,1.821994966,#VALUE!,#VALUE!,#VALUE!
10,1,Away,-1,10,0.544422365,0.301636374,0.153941261,NA,NA,NA,NA,1.934903469,#VALUE!,#VALUE!,#VALUE!
20,1,Away,-1,20,0.572029433,0.287164457,0.14080611,NA,NA,NA,NA,2.003252755,#VALUE!,#VALUE!,#VALUE!
30,1,Away,-1,30,0.580152065,0.28094406,0.138903875,1,1,0,0,2.021400255,0.01293233,1.98706767,1
40,1,Away,-1,40,0.582590278,0.295328208,0.122081514,2,1,0,0,2.043099043,0.302606501,1.697393499,1
50,1,Away,-1,50,0.590421919,0.321640497,0.087937585,6,0.666666667,0.166666667,0.166666667,2.092906253,0.265149646,1.068183687,1
60,1,Away,-1,60,0.607276,0.33040044,0.062323561,7,0.714285714,0.142857143,0.142857143,2.152228439,0.345123063,1.083448365,1
70,1,Away,-1,70,0.646898458,0.323045738,0.030055804,5,0.8,0.2,0,2.263741112,0.372522896,1.227477104,1
80,1,Away,-1,80,0.720719664,0.274551203,0.004729133,8,0.75,0.125,0.125,2.436710194,0.432759689,1.067240311,1
90,1,Away,-1,90,0.80471554,0.194993437,0.000291024,14,0.785714286,0.142857143,0.071428571,2.609140055,0.573819136,0.997609435,1
0,2,Away,-1,0,0.65294368,0.281292326,0.065763994,NA,NA,NA,NA,2.240123365,#VALUE!,#VALUE!,#VALUE!
10,2,Away,-1,10,0.732380879,0.222746146,0.044872975,NA,NA,NA,NA,2.419888783,#VALUE!,#VALUE!,#VALUE!
20,2,Away,-1,20,0.783212867,0.181170767,0.035616366,NA,NA,NA,NA,2.530809369,#VALUE!,#VALUE!,#VALUE!
30,2,Away,-1,30,0.807438804,0.159586311,0.032974884,NA,NA,NA,NA,2.581902724,#VALUE!,#VALUE!,#VALUE!
40,2,Away,-1,40,0.824646919,0.151299619,0.024053462,NA,NA,NA,NA,2.625240376,#VALUE!,#VALUE!,#VALUE!
50,2,Away,-1,50,0.846907672,0.141303349,0.011788979,NA,NA,NA,NA,2.682026364,#VALUE!,#VALUE!,#VALUE!
60,2,Away,-1,60,0.878009988,0.116432357,0.005557655,2,1,0,0,2.750462322,0.537164287,1.462835713,1
70,2,Away,-1,70,0.930077915,0.068825839,0.001096246,2,1,0,0,2.859059584,0.639353394,1.360646606,1
80,2,Away,-1,80,0.979257311,0.020720713,2.20E-05,2,1,0,0,2.958492647,0.798443906,1.201556094,1
90,2,Away,-1,90,0.996313227,0.003686699,7.45E-08,3,1,0,0,2.992626379,0.930017325,1.069982675,1
0,3,Away,-1,0,0.778445708,0.202295403,0.019258889,NA,NA,NA,NA,2.537632527,#VALUE!,#VALUE!,#VALUE!
10,3,Away,-1,10,0.862393398,0.127470138,0.010136464,NA,NA,NA,NA,2.714650333,#VALUE!,#VALUE!,#VALUE!
20,3,Away,-1,20,0.907109449,0.086103908,0.006786643,NA,NA,NA,NA,2.807432255,#VALUE!,#VALUE!,#VALUE!
30,3,Away,-1,30,0.927136222,0.067071875,0.005791902,NA,NA,NA,NA,2.848480542,#VALUE!,#VALUE!,#VALUE!
40,3,Away,-1,40,0.940637307,0.055942308,0.003420384,NA,NA,NA,NA,2.87785423,#VALUE!,#VALUE!,#VALUE!
50,3,Away,-1,50,0.955014708,0.04386844,0.001116853,1,1,0,0,2.908912563,0.58545632,1.41454368,1
